Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-10-23 13:30:00+00:00,259.1000061035156,260.1799011230469,258.92999267578125,259.8900146484375,1064985
2025-10-23 13:31:00+00:00,259.2250061035156,259.3500061035156,258.7049865722656,259.07000732421875,190671
2025-10-23 13:32:00+00:00,259.4200134277344,259.5199890136719,258.9100036621094,259.2300109863281,162399
2025-10-23 13:33:00+00:00,259.2799987792969,259.5198974609375,259.18011474609375,259.4224853515625,143640
2025-10-23 13:34:00+00:00,259.17999267578125,259.3800048828125,259.0450134277344,259.2650146484375,114234
2025-10-23 13:35:00+00:00,259.0799865722656,259.2200012207031,258.8599853515625,259.1564025878906,113534
2025-10-23 13:36:00+00:00,259.04229736328125,259.30999755859375,258.9700012207031,259.0787048339844,58591
2025-10-23 13:37:00+00:00,258.4036865234375,259.218994140625,258.3900146484375,259.05718994140625,100276
2025-10-23 13:38:00+00:00,258.75,258.7900085449219,258.37799072265625,258.37799072265625,157625
2025-10-23 13:39:00+00:00,258.7099914550781,258.9798889160156,258.69000244140625,258.75,89729
2025-10-23 13:40:00+00:00,258.5400085449219,258.8699951171875,258.5199890136719,258.7373962402344,65417
2025-10-23 13:41:00+00:00,258.1449890136719,258.5,258.1199951171875,258.5,122642
2025-10-23 13:42:00+00:00,258.3800048828125,258.489990234375,258.1400146484375,258.1499938964844,100074
2025-10-23 13:43:00+00:00,258.69500732421875,258.909912109375,258.4100036621094,258.4100036621094,96122
2025-10-23 13:44:00+00:00,258.5,258.7300109863281,258.3399963378906,258.7300109863281,75766
2025-10-23 13:45:00+00:00,258.930908203125,259.07000732421875,258.4849853515625,258.4849853515625,78743
2025-10-23 13:46:00+00:00,258.70599365234375,258.95989990234375,258.69000244140625,258.92999267578125,83855
2025-10-23 13:47:00+00:00,258.8299865722656,258.8299865722656,258.60791015625,258.67999267578125,73989
2025-10-23 13:48:00+00:00,258.70001220703125,258.989990234375,258.6080017089844,258.8684997558594,111901
2025-10-23 13:49:00+00:00,258.7449951171875,258.8500061035156,258.6099853515625,258.68499755859375,89860
2025-10-23 13:50:00+00:00,258.8800048828125,258.9599914550781,258.739990234375,258.739990234375,68901
2025-10-23 13:51:00+00:00,258.93499755859375,258.989990234375,258.7799987792969,258.95001220703125,94471
2025-10-23 13:52:00+00:00,258.68499755859375,259.1199951171875,258.6700134277344,259.0,196955
2025-10-23 13:53:00+00:00,258.9735107421875,259.1000061035156,258.7099914550781,258.760009765625,92023
2025-10-23 13:54:00+00:00,258.6099853515625,259.02130126953125,258.54998779296875,259.0150146484375,74424
2025-10-23 13:55:00+00:00,258.9800109863281,259.114990234375,258.6105041503906,258.6105041503906,55725
2025-10-23 13:56:00+00:00,258.8789978027344,259.1400146484375,258.8599853515625,258.9849853515625,63645
2025-10-23 13:57:00+00:00,258.34130859375,258.8500061035156,258.30010986328125,258.8500061035156,73347
2025-10-23 13:58:00+00:00,258.0215148925781,258.3349914550781,258.0215148925781,258.3349914550781,175952
2025-10-23 13:59:00+00:00,258.3500061035156,258.3900146484375,258.0101013183594,258.0199890136719,115977
2025-10-23 14:00:00+00:00,258.67999267578125,258.80999755859375,258.3900146484375,258.3900146484375,82463
2025-10-23 14:01:00+00:00,258.614990234375,258.8500061035156,258.5600891113281,258.65008544921875,67328
2025-10-23 14:02:00+00:00,258.56500244140625,258.69500732421875,258.3900146484375,258.635009765625,67070
2025-10-23 14:03:00+00:00,258.6300048828125,258.7398986816406,258.4800109863281,258.5885009765625,60509
