timestamp,symbol,price
2025-10-11T22:50:39.496914,AAPL,150.08
2025-10-11T22:50:39.510512,AAPL,155.28
2025-10-11T22:50:39.523640,AAPL,154.5
2025-10-11T22:50:39.537028,AAPL,157.8
2025-10-11T22:50:39.550108,AAPL,158.16
2025-10-11T22:50:39.562681,AAPL,159.38
2025-10-11T22:50:39.575938,AAPL,160.11
2025-10-11T22:50:39.590561,AAPL,164.0
2025-10-11T22:50:39.601438,AAPL,165.79
2025-10-11T22:50:39.614211,AAPL,164.98
2025-10-11T22:50:39.626837,AAPL,172.81
2025-10-11T22:50:39.637737,AAPL,171.09
2025-10-11T22:50:39.650473,AAPL,172.92
2025-10-11T22:50:39.663051,AAPL,174.24
2025-10-11T22:50:39.674656,AAPL,171.85
2025-10-11T22:50:39.685516,AAPL,172.42
2025-10-11T22:50:39.697693,AAPL,175.3
2025-10-11T22:50:39.709202,AAPL,176.79
2025-10-11T22:50:39.719585,AAPL,180.23
2025-10-11T22:50:39.729900,AAPL,181.5
2025-10-11T22:50:39.742558,AAPL,184.11
2025-10-11T22:50:39.755163,AAPL,186.37
2025-10-11T22:50:39.767789,AAPL,189.14
2025-10-11T22:50:39.780395,AAPL,194.78
2025-10-11T22:50:39.793015,AAPL,198.76
2025-10-11T22:50:39.803787,AAPL,202.37
2025-10-11T22:50:39.815177,AAPL,196.35
2025-10-11T22:50:39.827307,AAPL,194.82
2025-10-11T22:50:39.838786,AAPL,192.07
2025-10-11T22:50:39.851065,AAPL,190.75
2025-10-11T22:50:39.863628,AAPL,192.73
2025-10-11T22:50:39.875177,AAPL,197.63
2025-10-11T22:50:39.887777,AAPL,197.55
2025-10-11T22:50:39.900364,AAPL,207.83
2025-10-11T22:50:39.912843,AAPL,207.31
2025-10-11T22:50:39.923289,AAPL,207.2
2025-10-11T22:50:39.935309,AAPL,204.88
2025-10-11T22:50:39.947888,AAPL,206.59
2025-10-11T22:50:39.960455,AAPL,207.2
2025-10-11T22:50:39.972667,AAPL,206.74
2025-10-11T22:50:39.985236,AAPL,203.6
2025-10-11T22:50:39.997597,AAPL,199.47
2025-10-11T22:50:40.010198,AAPL,196.17
2025-10-11T22:50:40.022662,AAPL,186.82
2025-10-11T22:50:40.034920,AAPL,182.55
2025-10-11T22:50:40.047497,AAPL,184.88
2025-10-11T22:50:40.060071,AAPL,180.17
2025-10-11T22:50:40.070672,AAPL,170.35
2025-10-11T22:50:40.083221,AAPL,168.23
2025-10-11T22:50:40.093583,AAPL,166.67
2025-10-11T22:50:40.105972,AAPL,166.66
2025-10-11T22:50:40.118553,AAPL,161.69
2025-10-11T22:50:40.131155,AAPL,162.12
2025-10-11T22:50:40.143723,AAPL,158.86
2025-10-11T22:50:40.156128,AAPL,165.35
2025-10-11T22:50:40.168713,AAPL,165.12
2025-10-11T22:50:40.181065,AAPL,170.89
2025-10-11T22:50:40.192922,AAPL,170.4
2025-10-11T22:50:40.205597,AAPL,172.16
2025-10-11T22:50:40.216202,AAPL,169.74
2025-10-11T22:50:40.227710,AAPL,172.69
